Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
gekko,23,0.9,0.57,13,0.57,45.52,A
killjoy,24,0.79,0.71,18,0.75,31.65,B
fade,23,0.74,0.43,14,0.61,48.33,B
sova,47,1.03,0.7,33,0.7,47.12,S
jett,47,0.85,0.66,36,0.77,46.19,S
yoru,23,1.87,1.35,15,0.65,51.81,B
omen,23,0.55,0.35,16,0.7,38.06,A
viper,47,1.21,0.62,26,0.55,47.18,B
brimstone,23,1.02,0.65,16,0.7,45.63,B
deadlock,17,0.25,0.24,15,0.88,32.53,C
fade,23,0.82,0.61,18,0.78,35.27,B
sova,17,0.9,0.76,16,0.94,40.89,S
omen,17,0.56,0.35,17,1.0,47.89,A
neon,17,0.54,0.53,16,0.94,27.87,C
raze,23,0.62,0.48,17,0.74,27.14,A
viper,40,1.0,0.6,26,0.65,42.12,B
brimstone,17,0.72,0.35,13,0.76,37.83,B
omen,18,0.58,0.33,13,0.72,38.93,A
deadlock,17,0.61,0.47,15,0.88,39.61,C
sova,18,0.9,0.67,14,0.78,38.67,S
killjoy,18,0.27,0.39,17,0.94,48.3,B
skye,17,0.37,0.35,15,0.88,23.65,C
neon,18,0.75,0.61,16,0.89,32.35,C
raze,17,0.57,0.47,16,0.94,36.35,A
viper,35,0.76,0.51,30,0.86,25.07,B
brimstone,23,0.66,0.39,15,0.65,37.29,B
omen,23,0.63,0.43,16,0.7,51.99,A
viper,24,1.54,1.17,16,0.67,46.51,B
cypher,23,1.5,1.04,13,0.57,47.69,S
omen,24,1.17,0.88,17,0.71,33.04,A
viper,23,1.04,0.74,14,0.61,37.59,B
gekko,23,0.47,0.35,18,0.78,34.26,A
sova,24,0.62,0.42,17,0.71,35.98,S
jett,47,1.17,0.77,27,0.57,53.39,S
raze,23,1.45,1.09,18,0.78,49.12,A
killjoy,24,0.68,0.54,18,0.75,30.51,B
skye,23,0.94,0.52,15,0.65,41.97,C
sova,23,0.86,0.52,13,0.57,44.63,S
chamber,24,1.59,1.25,15,0.62,56.66,C
sova,42,1.23,0.74,27,0.64,54.92,S
clove,24,0.74,0.71,19,0.79,32.66,S
jett,42,0.93,0.67,32,0.76,34.13,S
cypher,42,0.85,0.52,27,0.64,30.02,S
raze,24,1.27,0.83,13,0.54,42.11,A
fade,24,0.62,0.33,16,0.67,41.67,B
omen,42,0.87,0.57,29,0.69,48.08,A
viper,24,0.95,0.42,12,0.5,39.59,B
chamber,19,1.02,0.53,10,0.53,38.5,C
viper,26,0.64,0.5,21,0.81,39.73,B
vyse,21,0.46,0.33,17,0.81,30.14,A
fade,26,0.88,0.62,20,0.77,56.76,B
viper,21,0.78,0.43,15,0.71,25.76,B
vyse,19,1.26,0.74,9,0.47,45.12,A
