Agents,Rounds,Rating,Kpr,Deaths,Dpr,HsPerc,Tier
fade,60,0.92,0.6,39,0.65,34.2,B
sova,20,0.84,0.6,13,0.65,35.93,S
omen,20,0.93,0.7,13,0.65,37.57,A
raze,40,1.12,0.88,28,0.7,34.75,A
sage,20,1.32,0.8,11,0.55,53.38,A
viper,21,1.23,0.67,9,0.43,41.19,B
vyse,59,0.98,0.54,35,0.59,43.5,A
yoru,80,1.28,0.86,47,0.59,39.32,B
breach,24,1.34,0.79,13,0.54,29.02,B
omen,42,1.19,0.74,23,0.55,45.16,A
cypher,47,0.84,0.47,25,0.53,25.16,S
viper,19,1.57,0.95,9,0.47,45.19,B
fade,43,0.82,0.58,28,0.65,29.65,B
sova,23,0.65,0.3,16,0.7,53.3,S
neon,42,1.12,0.83,28,0.67,50.23,C
omen,24,1.05,0.71,14,0.58,43.31,A
yoru,23,1.13,0.78,15,0.65,52.71,B
deadlock,19,1.27,0.63,6,0.32,36.97,C
killjoy,23,0.96,0.61,15,0.65,45.25,B
fade,19,1.23,0.89,10,0.53,46.26,B
sova,23,1.08,0.74,15,0.65,44.31,S
neon,42,1.27,0.9,26,0.62,54.22,C
omen,42,1.23,0.71,24,0.57,48.4,A
viper,42,1.05,0.67,25,0.6,44.21,B
deadlock,24,0.71,0.58,18,0.75,26.56,C
killjoy,23,1.11,0.52,11,0.48,33.68,B
sage,19,0.68,0.47,16,0.84,37.0,A
fade,19,0.78,0.53,16,0.84,39.33,B
sova,47,0.89,0.53,31,0.66,30.98,S
neon,66,1.01,0.79,51,0.77,61.03,C
omen,66,1.02,0.58,42,0.64,52.81,A
viper,66,0.87,0.58,46,0.7,45.02,B
fade,19,0.54,0.42,16,0.84,38.06,B
killjoy,23,1.17,0.74,16,0.7,40.1,B
jett,23,0.99,0.74,17,0.74,33.86,S
yoru,19,1.01,0.63,13,0.68,41.48,B
raze,19,1.03,0.74,16,0.84,42.74,A
omen,23,1.24,0.83,14,0.61,33.49,A
viper,19,0.53,0.53,17,0.89,40.85,B
omen,19,0.41,0.26,14,0.74,35.44,A
sova,23,0.69,0.52,16,0.7,24.34,S
chamber,22,0.94,0.73,14,0.64,35.3,C
yoru,19,1.3,0.84,10,0.53,40.85,B
fade,19,1.34,0.58,8,0.42,57.54,B
sova,22,0.83,0.5,14,0.64,44.33,S
neon,19,1.18,1.05,15,0.79,33.5,C
yoru,22,0.73,0.68,16,0.73,44.85,B
omen,41,1.25,0.73,23,0.56,30.44,A
vyse,41,1.29,0.88,27,0.66,52.18,A
deadlock,19,1.03,0.68,14,0.74,37.11,C
killjoy,22,0.69,0.45,16,0.73,37.91,B
fade,19,0.6,0.37,14,0.74,48.39,B
sova,22,0.91,0.59,17,0.77,29.44,S
neon,41,0.97,0.71,33,0.8,29.52,C
omen,41,0.66,0.44,32,0.78,33.49,A
viper,41,1.15,0.9,29,0.71,51.63,B
fade,22,0.69,0.45,15,0.68,26.91,B
sova,20,1.6,1.15,12,0.6,24.04,S
jett,20,0.85,0.65,14,0.7,37.29,S
killjoy,20,1.17,0.8,10,0.5,48.41,B
viper,22,1.26,0.86,11,0.5,54.2,B
neon,22,1.32,1.09,15,0.68,41.75,C
viper,20,0.99,0.65,12,0.6,38.41,B
omen,22,0.79,0.5,14,0.64,49.11,A
sage,20,1.3,0.75,13,0.65,27.34,A
fade,22,0.29,0.23,18,0.82,32.63,B
sage,20,0.6,0.4,16,0.8,39.12,A
jett,20,0.72,0.55,15,0.75,43.09,S
neon,22,1.25,0.95,17,0.77,39.26,C
killjoy,20,0.97,0.7,16,0.8,40.88,B
vyse,22,1.21,0.82,14,0.64,23.17,A
omen,22,0.88,0.59,17,0.77,34.47,A
viper,20,1.01,0.75,16,0.8,44.73,B
sova,20,0.84,0.65,17,0.85,31.84,S
viper,22,0.8,0.55,16,0.73,40.13,B
breach,24,0.79,0.71,23,0.96,42.99,B
omen,28,1.34,0.86,20,0.71,40.18,A
tejo,20,1.14,0.9,15,0.75,44.36,S
cypher,72,1.23,0.72,39,0.54,35.18,S
fade,24,0.75,0.5,18,0.75,37.35,B
sova,48,0.97,0.56,29,0.6,45.68,S
neon,28,0.71,0.57,22,0.79,40.64,C
omen,44,1.43,0.86,30,0.68,38.47,A
yoru,48,1.11,0.75,31,0.65,44.09,B
chamber,20,1.15,0.9,15,0.75,48.72,C
yoru,52,0.78,0.65,38,0.73,24.26,B
cypher,52,1.07,0.81,40,0.77,51.21,S
vyse,20,0.87,0.65,15,0.75,37.81,A
neon,52,1.01,0.85,39,0.75,45.9,C
yoru,20,0.93,0.75,16,0.8,50.68,B
omen,72,1.04,0.72,46,0.64,31.11,A
sova,72,0.67,0.39,48,0.67,32.86,S
breach,26,1.24,0.62,15,0.58,39.25,B
brimstone,17,0.54,0.47,14,0.82,31.87,B
omen,43,0.88,0.58,28,0.65,54.48,A
sage,19,0.86,0.47,10,0.53,33.61,A
cypher,46,0.95,0.63,30,0.65,36.66,S
killjoy,19,1.2,0.89,13,0.68,45.1,B
viper,40,1.35,0.93,26,0.65,34.48,B
fade,66,0.95,0.64,48,0.73,37.39,B
sova,39,0.67,0.51,32,0.82,41.08,S
jett,19,1.63,1.11,8,0.42,45.08,S
yoru,37,0.76,0.65,31,0.84,39.03,B
neon,43,0.79,0.63,32,0.74,36.15,C
omen,26,0.91,0.5,19,0.73,27.04,A
raze,17,0.6,0.47,15,0.88,40.23,A
viper,19,1.74,1.11,9,0.47,61.38,B
brimstone,17,1.29,0.59,7,0.41,42.77,B
deadlock,20,1.31,0.7,9,0.45,45.2,C
omen,23,0.76,0.48,17,0.74,44.42,A
viper,45,0.76,0.47,33,0.73,28.71,B
cypher,43,1.12,0.72,26,0.6,56.02,S
killjoy,19,0.5,0.42,15,0.79,39.5,B
omen,26,0.99,0.85,20,0.77,55.39,A
viper,17,1.58,1.12,9,0.53,41.1,B
deadlock,23,0.82,0.7,17,0.74,55.62,C
sage,45,0.74,0.53,35,0.78,45.26,A
yoru,37,1.51,1.11,22,0.59,50.8,B
fade,17,0.94,0.59,11,0.65,42.57,B
sova,88,0.91,0.69,63,0.72,39.15,S
jett,19,0.9,0.84,17,0.89,50.88,S
omen,20,1.03,0.7,14,0.7,42.52,A
raze,43,1.01,0.74,28,0.65,26.46,A
yoru,23,0.76,0.7,20,0.87,31.1,B
astra,23,1.43,0.96,16,0.7,42.51,A
cypher,32,0.65,0.56,26,0.81,41.6,S
vyse,48,0.99,0.6,32,0.67,40.19,A
chamber,45,1.07,0.76,26,0.58,52.71,C
yoru,58,1.18,0.9,43,0.74,27.47,B
fade,49,1.0,0.71,33,0.67,42.89,B
sova,54,0.76,0.56,40,0.74,25.14,S
neon,58,0.75,0.66,47,0.81,46.2,C
yoru,45,0.86,0.6,32,0.71,39.56,B
omen,103,1.02,0.71,75,0.73,44.62,A
astra,42,1.16,0.69,21,0.5,35.99,A
brimstone,18,1.01,0.72,15,0.83,50.8,B
omen,42,1.02,0.69,29,0.69,49.71,A
cypher,18,0.78,0.44,10,0.56,44.59,S
iso,42,0.99,0.76,29,0.69,41.04,B
viper,42,1.08,0.76,29,0.69,46.72,B
deadlock,36,0.82,0.64,30,0.83,34.1,C
fade,42,1.24,0.88,27,0.64,50.52,B
tejo,24,1.31,0.79,14,0.58,56.46,S
fade,24,0.48,0.46,20,0.83,46.52,B
sage,42,1.15,0.79,24,0.57,37.5,A
skye,18,0.45,0.33,15,0.83,39.55,C
sova,18,0.74,0.5,13,0.72,28.89,S
neon,42,1.16,1.05,35,0.83,48.44,C
raze,60,0.85,0.67,45,0.75,44.3,A
astra,17,1.13,0.59,7,0.41,27.66,A
omen,84,0.98,0.67,55,0.65,32.21,A
viper,18,1.4,0.83,10,0.56,41.55,B
deadlock,78,1.0,0.64,50,0.64,38.87,C
killjoy,41,1.0,0.76,26,0.63,32.88,B
fade,24,0.94,0.5,14,0.58,43.47,B
sova,78,1.1,0.74,53,0.68,43.97,S
harbor,18,0.51,0.33,14,0.78,35.51,C
viper,101,1.23,0.89,65,0.64,37.73,B
jett,18,0.6,0.44,13,0.72,47.03,S
neon,84,1.23,0.89,56,0.67,56.78,C
raze,17,1.59,1.12,9,0.53,43.09,A
astra,40,1.06,0.58,24,0.6,36.1,A
killjoy,34,1.46,0.94,19,0.56,48.85,B
deadlock,40,1.44,1.03,24,0.6,42.64,C
sage,34,1.25,0.85,18,0.53,43.14,A
fade,40,1.3,0.78,22,0.55,49.32,B
viper,34,1.25,0.82,18,0.53,28.69,B
gekko,40,1.06,0.78,27,0.68,52.91,A
sova,34,1.14,0.76,22,0.65,42.98,S
jett,34,1.02,0.88,27,0.79,39.19,S
raze,40,0.89,0.73,28,0.7,40.99,A
breach,21,1.15,0.67,14,0.67,41.04,B
deadlock,45,1.01,0.67,32,0.71,27.17,C
raze,58,0.88,0.71,44,0.76,52.98,A
brimstone,18,1.63,0.89,5,0.28,46.99,B
cypher,21,0.91,0.62,16,0.76,43.66,S
killjoy,24,1.07,0.58,17,0.71,47.73,B
viper,38,1.24,0.89,28,0.74,34.81,B
yoru,23,1.15,0.83,17,0.74,46.17,B
cypher,39,0.54,0.41,30,0.77,35.8,S
omen,43,1.23,0.84,30,0.7,49.57,A
skye,18,1.73,1.28,8,0.44,32.26,C
viper,24,0.88,0.71,18,0.75,40.31,B
fade,62,0.74,0.47,47,0.76,33.8,B
gekko,18,0.98,0.72,12,0.67,45.3,A
sova,44,1.08,0.84,35,0.8,45.76,S
neon,43,0.63,0.6,35,0.81,33.86,C
omen,63,1.02,0.68,44,0.7,35.5,A
viper,18,0.86,0.61,10,0.56,40.73,B
breach,19,0.7,0.42,13,0.68,31.59,B
fade,20,0.66,0.45,16,0.8,44.84,B
omen,42,0.81,0.52,29,0.69,36.73,A
sova,19,0.7,0.58,16,0.84,15.82,S
cypher,80,0.91,0.65,58,0.72,37.74,S
viper,20,0.31,0.3,17,0.85,27.89,B
deadlock,19,0.73,0.58,15,0.79,26.43,C
fade,19,1.48,0.79,7,0.37,35.04,B
sova,42,0.96,0.62,27,0.64,41.96,S
vyse,20,0.81,0.55,15,0.75,50.13,A
neon,42,1.09,0.81,31,0.74,44.69,C
omen,58,1.15,0.79,40,0.69,37.53,A
yoru,81,0.98,0.7,60,0.74,44.73,B
brimstone,19,0.95,0.74,17,0.89,36.61,B
omen,28,0.7,0.46,20,0.71,33.36,A
viper,38,1.05,0.79,33,0.87,31.71,B
deadlock,19,0.67,0.53,17,0.89,24.17,C
killjoy,14,0.37,0.21,12,0.86,32.1,B
omen,18,0.54,0.5,16,0.89,39.14,A
sova,20,0.55,0.45,16,0.8,37.33,S
vyse,14,1.44,0.93,7,0.5,41.97,A
fade,14,1.4,0.79,5,0.36,37.45,B
sage,20,0.81,0.55,16,0.8,43.97,A
skye,19,0.66,0.58,17,0.89,28.14,C
sova,32,0.85,0.69,27,0.84,46.39,S
jett,18,0.3,0.33,16,0.89,28.16,S
neon,14,0.5,0.43,13,0.93,30.84,C
omen,20,0.57,0.55,18,0.9,26.57,A
raze,33,1.1,0.79,22,0.67,38.53,A
killjoy,38,0.83,0.71,35,0.92,47.54,B
viper,28,0.97,0.68,19,0.68,45.49,B
vyse,19,1.15,1.0,17,0.89,50.71,A
brimstone,21,0.87,0.67,14,0.67,45.52,B
omen,45,1.17,0.76,29,0.64,33.65,A
viper,16,1.07,0.81,13,0.81,38.97,B
cypher,22,0.76,0.5,17,0.77,32.6,S
deadlock,23,1.13,0.78,15,0.65,53.24,C
killjoy,16,0.67,0.44,13,0.81,28.35,B
viper,21,0.62,0.33,13,0.62,45.49,B
deadlock,22,0.99,0.73,15,0.68,49.0,C
fade,21,0.88,0.57,12,0.57,55.78,B
omen,16,0.55,0.38,14,0.88,33.48,A
sova,23,1.03,0.61,13,0.57,47.24,S
sova,38,0.99,0.76,31,0.82,59.29,S
viper,23,0.69,0.43,16,0.7,33.76,B
neon,39,0.66,0.64,33,0.85,27.32,C
raze,21,0.91,0.71,15,0.71,26.38,A
yoru,22,0.4,0.41,20,0.91,42.52,B
brimstone,17,0.77,0.47,13,0.76,23.55,B
omen,64,1.06,0.72,45,0.7,38.62,A
viper,18,1.22,0.78,10,0.56,46.82,B
cypher,40,1.11,0.88,29,0.72,44.52,S
killjoy,18,1.13,0.89,12,0.67,46.94,B
viper,17,0.55,0.47,13,0.76,40.4,B
vyse,24,1.09,0.63,15,0.62,51.57,A
fade,24,0.9,0.63,18,0.75,32.68,B
skye,17,0.34,0.35,15,0.88,31.04,C
sova,58,0.84,0.59,43,0.74,33.8,S
gekko,17,0.58,0.41,13,0.76,44.66,A
sage,18,0.79,0.44,13,0.72,45.84,A
viper,64,0.74,0.56,48,0.75,43.21,B
jett,37,0.86,0.57,27,0.73,49.33,S
neon,21,0.57,0.52,17,0.81,29.3,C
raze,24,1.43,1.0,18,0.75,57.34,A
cypher,34,1.28,0.82,21,0.62,55.43,S
killjoy,20,0.91,0.6,12,0.6,47.08,B
vyse,34,0.36,0.29,30,0.88,50.11,A
fade,34,0.47,0.32,28,0.82,23.39,B
sova,54,0.52,0.41,38,0.7,34.3,S
harbor,20,1.46,0.95,12,0.6,38.82,C
iso,34,1.08,0.85,24,0.71,48.59,B
raze,34,0.78,0.59,30,0.88,30.46,A
jett,20,2.23,1.95,11,0.55,61.16,S
yoru,68,1.04,0.75,54,0.79,52.14,B
omen,68,1.01,0.6,47,0.69,46.04,A
viper,20,1.03,0.55,10,0.5,43.77,B
deadlock,19,0.86,0.68,14,0.74,32.98,C
killjoy,64,0.99,0.66,41,0.64,34.71,B
sage,19,1.07,0.63,11,0.58,51.66,A
fade,19,1.61,0.95,8,0.42,52.37,B
sova,83,1.08,0.67,47,0.57,41.83,S
jett,19,0.95,0.58,11,0.58,37.82,S
neon,83,0.93,0.7,62,0.75,24.79,C
viper,83,0.91,0.67,60,0.72,32.37,B
omen,102,0.91,0.63,73,0.72,55.83,A
fade,98,0.97,0.61,66,0.67,30.5,B
omen,46,1.12,0.8,30,0.65,44.32,A
omen,52,0.92,0.6,34,0.65,48.86,A
raze,46,1.35,0.93,28,0.61,34.38,A
vyse,98,1.35,0.92,57,0.58,46.04,A
yoru,98,1.29,0.89,59,0.6,51.6,B
astra,21,1.23,0.9,13,0.62,44.14,A
cypher,19,0.87,0.63,13,0.68,63.81,S
chamber,21,1.18,0.81,11,0.52,30.59,C
yoru,19,0.48,0.42,16,0.84,45.95,B
fade,21,0.78,0.48,12,0.57,38.86,B
sova,19,1.77,1.11,10,0.53,53.04,S
neon,19,1.03,0.89,15,0.79,46.11,C
yoru,21,1.27,0.95,14,0.67,38.27,B
omen,40,1.26,0.9,25,0.62,45.87,A
astra,20,0.61,0.25,12,0.6,22.84,A
omen,16,0.34,0.31,15,0.94,40.41,A
viper,16,1.34,0.94,7,0.44,48.27,B
chamber,16,1.33,1.06,6,0.38,52.67,C
neon,16,0.49,0.38,14,0.88,45.22,C
raze,20,0.74,0.6,15,0.75,42.94,A
cypher,16,0.86,0.69,15,0.94,40.56,S
iso,36,1.04,0.89,30,0.83,35.21,B
deadlock,16,1.17,0.75,13,0.81,35.32,C
fade,20,0.72,0.5,15,0.75,48.49,B
sova,16,1.79,1.13,6,0.38,59.75,S
sage,36,0.9,0.47,23,0.64,37.68,A
sova,16,0.77,0.56,13,0.81,39.49,S
brimstone,21,1.18,0.67,13,0.62,34.5,B
omen,23,0.92,0.65,16,0.7,50.28,A
fade,44,0.83,0.66,33,0.75,45.92,B
viper,23,1.09,0.83,18,0.78,57.59,B
killjoy,23,1.08,0.78,17,0.74,34.85,B
viper,21,1.08,0.81,15,0.71,39.4,B
raze,44,0.92,0.7,36,0.82,42.29,A
brimstone,21,1.09,0.67,16,0.76,45.79,B
omen,23,1.25,0.91,17,0.74,41.45,A
fade,44,0.97,0.7,30,0.68,34.58,B
raze,44,0.86,0.77,36,0.82,48.19,A
viper,21,0.74,0.52,15,0.71,45.29,B
vyse,23,1.0,0.78,16,0.7,34.87,A
yoru,44,1.27,0.82,27,0.61,54.16,B
cypher,21,1.11,0.76,12,0.57,52.4,S
killjoy,16,0.92,0.5,7,0.44,42.55,B
viper,24,1.22,0.88,15,0.62,44.48,B
fade,24,0.81,0.5,14,0.58,44.79,B
omen,21,1.11,0.57,10,0.48,34.97,A
sage,16,1.0,0.5,9,0.56,40.76,A
jett,16,1.69,1.25,8,0.5,31.28,S
neon,24,1.31,0.88,13,0.54,51.49,C
yoru,21,1.33,1.0,12,0.57,32.95,B
neon,21,1.26,0.95,13,0.62,56.57,C
omen,24,1.19,0.79,16,0.67,39.9,A
viper,16,1.75,1.31,10,0.62,46.45,B
sova,37,1.12,0.62,17,0.46,37.5,S
vyse,24,0.71,0.5,19,0.79,36.38,A
cypher,22,0.93,0.68,14,0.64,53.03,S
killjoy,21,0.58,0.38,15,0.71,18.22,B
viper,22,0.71,0.55,17,0.77,49.56,B
deadlock,44,1.28,0.89,29,0.66,46.32,C
sage,21,0.45,0.19,16,0.76,26.16,A
jett,21,0.9,0.76,16,0.76,32.92,S
neon,22,0.58,0.45,20,0.91,50.63,C
yoru,22,1.49,0.91,11,0.5,37.54,B
omen,44,0.61,0.5,35,0.8,29.37,A
sova,65,1.12,0.8,47,0.72,51.34,S
cypher,19,0.87,0.79,15,0.79,44.29,S
deadlock,21,0.73,0.43,17,0.81,30.32,C
neon,19,0.67,0.68,17,0.89,41.41,C
omen,40,0.97,0.68,30,0.75,32.59,A
sova,40,0.52,0.43,34,0.85,46.31,S
deadlock,24,1.34,0.96,16,0.67,52.73,C
harbor,16,0.3,0.13,16,1.0,37.56,C
jett,16,1.05,0.75,12,0.75,44.39,S
neon,45,0.6,0.47,35,0.78,52.55,C
omen,45,0.81,0.51,32,0.71,39.42,A
sova,61,0.65,0.51,50,0.82,29.09,S
deadlock,22,1.05,0.64,11,0.5,46.0,C
harbor,21,1.18,0.86,14,0.67,59.93,C
omen,22,1.39,1.05,15,0.68,36.94,A
jett,21,1.52,0.9,9,0.43,42.67,S
neon,22,1.37,1.14,14,0.64,49.61,C
omen,22,0.7,0.5,15,0.68,39.13,A
sova,43,0.87,0.51,22,0.51,33.16,S
deadlock,17,0.79,0.47,14,0.82,47.11,C
sova,17,0.82,0.53,15,0.88,56.82,S
neon,17,0.45,0.47,15,0.88,39.23,C
omen,34,0.51,0.38,28,0.82,30.01,A
sage,17,1.02,0.65,8,0.47,30.35,A
jett,17,1.6,1.29,11,0.65,49.76,S
neon,17,1.21,0.76,10,0.59,51.71,C
vyse,17,1.37,0.88,6,0.35,49.8,A
omen,17,1.31,0.82,9,0.53,43.94,A
sova,17,1.57,0.82,6,0.35,40.69,S
sova,32,0.95,0.59,20,0.62,32.2,S
jett,16,0.99,0.75,14,0.88,47.14,S
neon,36,1.1,0.78,22,0.61,50.23,C
sage,20,1.33,0.8,9,0.45,32.03,A
omen,52,1.07,0.71,35,0.67,54.46,A
astra,23,1.13,1.0,17,0.74,48.67,A
chamber,23,0.83,0.57,17,0.74,50.98,C
neon,19,0.8,0.79,16,0.84,30.44,C
omen,42,1.24,0.83,31,0.74,31.45,A
astra,21,1.1,0.52,12,0.57,39.45,A
omen,20,1.29,0.75,11,0.55,47.12,A
cypher,21,0.81,0.67,16,0.76,54.99,S
deadlock,41,1.0,0.71,23,0.56,48.27,C
neon,20,0.89,0.85,17,0.85,39.76,C
raze,21,1.31,1.0,16,0.76,35.71,A
astra,26,0.96,0.62,15,0.58,51.4,A
omen,20,0.77,0.4,14,0.7,30.68,A
deadlock,26,0.67,0.46,19,0.73,51.79,C
gekko,26,1.07,0.65,16,0.62,39.26,A
sova,20,0.98,0.65,13,0.65,54.02,S
neon,20,0.96,0.8,16,0.8,47.03,C
omen,20,1.25,0.6,9,0.45,41.3,A
cypher,20,1.49,0.8,8,0.4,40.64,S
vyse,26,1.43,0.92,14,0.54,42.15,A
jett,20,1.79,1.3,13,0.65,51.23,S
raze,26,0.97,0.69,17,0.65,42.32,A
sova,20,0.93,0.55,12,0.6,35.95,S
clove,20,0.49,0.5,18,0.9,36.47,S
deadlock,21,0.78,0.62,16,0.76,40.75,C
vyse,20,1.3,0.9,13,0.65,26.77,A
sova,20,0.82,0.55,16,0.8,42.77,S
raze,41,1.12,0.8,32,0.78,33.92,A
cypher,20,1.33,0.85,14,0.7,33.67,S
vyse,22,1.51,1.0,11,0.5,32.5,A
sova,20,1.09,0.75,13,0.65,27.95,S
neon,20,0.59,0.55,16,0.8,28.26,C
raze,22,0.74,0.55,16,0.73,33.99,A
omen,42,1.29,0.98,31,0.74,59.51,A
cypher,23,0.95,0.65,14,0.61,37.41,S
vyse,19,0.76,0.58,16,0.84,40.5,A
deadlock,23,1.17,0.7,14,0.61,45.32,C
sova,23,1.34,1.09,15,0.65,46.75,S
omen,42,0.82,0.48,28,0.67,38.82,A
raze,19,1.63,1.26,13,0.68,37.6,A
cypher,21,0.62,0.38,19,0.9,48.21,S
deadlock,21,0.38,0.33,19,0.9,50.56,C
raze,16,0.57,0.5,15,0.94,24.02,A
sova,21,1.28,1.0,17,0.81,35.33,S
omen,37,0.66,0.38,31,0.84,34.84,A
sova,21,1.02,0.76,13,0.62,34.92,S
jett,21,1.6,1.14,9,0.43,52.01,S
raze,16,1.1,0.88,11,0.69,37.45,A
omen,37,1.43,0.89,20,0.54,61.9,A
omen,38,0.85,0.45,20,0.53,49.78,A
raze,23,0.91,0.78,18,0.78,43.26,A
omen,42,0.56,0.5,36,0.86,46.34,A
raze,42,1.18,0.86,31,0.74,51.53,A
sage,20,0.29,0.35,18,0.9,31.79,A
vyse,22,1.23,0.86,16,0.73,36.23,A
sova,20,1.24,0.8,14,0.7,43.03,S
vyse,15,0.98,0.67,12,0.8,47.19,A
neon,15,0.92,0.8,13,0.87,42.15,C
raze,23,0.85,0.61,18,0.78,27.24,A
omen,38,0.97,0.61,28,0.74,33.76,A
astra,22,1.08,0.77,14,0.64,41.99,A
chamber,21,1.27,0.81,11,0.52,43.33,C
sova,21,1.18,0.76,13,0.62,58.42,S
jett,21,1.73,1.05,11,0.52,35.25,S
neon,22,1.04,0.86,17,0.77,46.48,C
raze,28,0.85,0.64,22,0.79,51.99,A
vyse,50,0.79,0.46,30,0.6,57.97,A
omen,71,1.12,0.68,43,0.61,38.68,A
astra,22,1.01,0.82,16,0.73,46.29,A
omen,49,1.14,0.78,31,0.63,47.32,A
jett,21,0.83,0.71,15,0.71,42.98,S
neon,22,1.08,0.77,16,0.73,41.07,C
raze,28,0.84,0.64,19,0.68,44.45,A
sova,21,0.53,0.33,17,0.81,16.56,S
astra,24,0.99,0.58,16,0.67,45.9,A
deadlock,24,0.93,0.71,18,0.75,42.11,C
sage,30,0.99,0.67,21,0.7,39.32,A
gekko,24,1.18,0.71,15,0.62,58.51,A
sova,30,0.42,0.47,27,0.9,32.1,S
jett,30,0.8,0.67,25,0.83,36.84,S
raze,24,1.22,0.92,17,0.71,59.45,A
sage,17,0.83,0.65,11,0.65,34.64,A
sova,28,0.71,0.46,22,0.79,33.88,S
cypher,16,0.97,0.63,9,0.56,40.64,S
omen,28,1.19,0.79,19,0.68,49.19,A
sova,17,1.28,0.82,11,0.65,44.66,S
vyse,28,0.69,0.36,20,0.71,27.58,A
jett,17,1.59,1.12,8,0.47,43.18,S
neon,28,0.84,0.54,21,0.75,34.54,C
omen,16,1.35,0.88,7,0.44,44.66,A
chamber,28,1.48,1.0,17,0.61,48.53,C
sage,17,0.98,0.59,13,0.76,43.17,A
cypher,16,0.58,0.5,15,0.94,23.27,S
vyse,28,1.48,0.89,13,0.46,53.73,A
jett,17,0.82,0.82,17,1.0,42.22,S
neon,16,0.33,0.38,15,0.94,47.36,C
omen,44,0.54,0.3,35,0.8,40.15,A
sova,61,0.75,0.49,43,0.7,48.11,S
sova,26,0.64,0.46,19,0.73,42.49,S
cypher,22,1.02,0.64,13,0.59,52.45,S
neon,26,1.22,0.88,19,0.73,47.14,C
omen,48,1.29,0.9,30,0.62,43.26,A
sova,30,0.85,0.47,18,0.6,58.08,S
jett,30,1.44,1.07,19,0.63,52.77,S
omen,30,1.12,0.7,20,0.67,46.23,A
raze,24,0.92,0.63,17,0.71,30.41,A
chamber,23,1.26,0.96,17,0.74,33.37,C
raze,23,1.36,1.04,16,0.7,47.14,A
omen,23,0.81,0.52,16,0.7,40.76,A
sage,23,0.57,0.43,17,0.74,33.47,A
vyse,23,0.75,0.48,17,0.74,40.01,A
sova,46,0.81,0.52,36,0.78,51.67,S
cypher,22,1.58,1.05,13,0.59,51.34,S
deadlock,19,0.71,0.47,13,0.68,30.13,C
omen,19,0.93,0.79,14,0.74,41.09,A
neon,19,0.95,0.79,16,0.84,34.74,C
omen,22,0.91,0.59,15,0.68,37.36,A
sova,41,0.68,0.41,29,0.71,35.11,S
cypher,41,1.01,0.71,28,0.68,37.84,S
neon,41,1.15,0.8,25,0.61,33.08,C
omen,41,1.27,0.63,22,0.54,40.96,A
sova,41,0.89,0.63,29,0.71,36.14,S
sage,23,0.8,0.35,12,0.52,15.9,A
jett,23,1.26,1.09,20,0.87,60.36,S
raze,23,1.11,0.7,15,0.65,50.51,A
vyse,23,0.67,0.35,14,0.61,35.61,A
omen,23,1.19,0.83,15,0.65,43.25,A
sova,23,0.67,0.61,18,0.78,30.49,S
sova,26,0.96,0.58,18,0.69,53.85,S
jett,26,1.06,0.85,21,0.81,57.2,S
raze,22,0.38,0.32,16,0.73,38.61,A
omen,48,1.23,0.92,36,0.75,51.39,A
astra,67,1.26,0.96,46,0.69,45.48,A
cypher,206,0.93,0.7,152,0.74,30.39,S
vyse,109,1.08,0.72,74,0.68,38.47,A
omen,401,1.12,0.74,268,0.67,43.1,A
chamber,131,1.04,0.75,83,0.63,38.82,C
raze,41,0.78,0.61,33,0.8,37.95,A
sova,270,0.87,0.56,179,0.66,39.59,S
gekko,41,0.96,0.61,26,0.63,40.41,A
neon,270,0.93,0.76,205,0.76,41.94,C
astra,38,1.11,0.55,19,0.5,33.02,A
omen,328,1.01,0.66,215,0.66,35.58,A
harbor,34,0.41,0.24,30,0.88,25.08,C
sova,71,0.87,0.59,51,0.72,47.96,S
cypher,43,0.92,0.65,29,0.67,24.29,S
sova,139,0.9,0.64,103,0.74,49.71,S
deadlock,211,1.04,0.69,132,0.63,52.95,C
jett,34,0.81,0.59,25,0.74,37.56,S
neon,288,1.02,0.77,210,0.73,21.03,C
raze,38,1.43,1.05,25,0.66,42.33,A
astra,22,1.08,0.77,14,0.64,42.07,A
chamber,21,1.27,0.81,11,0.52,35.86,C
vyse,19,1.15,1.0,17,0.89,38.76,A
omen,181,1.06,0.71,124,0.69,53.82,A
cypher,39,1.11,0.82,29,0.74,47.6,S
deadlock,40,0.7,0.48,34,0.85,30.6,C
omen,18,0.54,0.5,16,0.89,25.1,A
sova,20,0.55,0.45,16,0.8,35.48,S
vyse,86,1.08,0.67,48,0.56,40.51,A
sage,20,0.81,0.55,16,0.8,43.07,A
skye,19,0.66,0.58,17,0.89,34.4,C
sova,113,0.84,0.62,87,0.77,44.13,S
jett,39,1.07,0.72,27,0.69,57.16,S
neon,75,0.72,0.65,63,0.84,46.3,C
omen,20,0.57,0.55,18,0.9,37.92,A
raze,83,0.92,0.67,60,0.72,39.47,A
astra,22,1.01,0.82,16,0.73,39.51,A
omen,155,1.07,0.71,104,0.67,51.19,A
cypher,22,0.76,0.5,17,0.77,33.82,S
deadlock,23,1.13,0.78,15,0.65,42.96,C
vyse,15,0.98,0.67,12,0.8,40.71,A
deadlock,22,0.99,0.73,15,0.68,37.85,C
omen,16,0.55,0.38,14,0.88,25.78,A
sova,23,1.03,0.61,13,0.57,44.12,S
jett,21,0.83,0.71,15,0.71,40.93,S
neon,76,0.83,0.71,62,0.82,44.54,C
